eruptionID,year,waiting_min,dur
24103,1970,74.0,4.0
24104,1970,62.0,2.0
24105,1970,71.0,4.25
24106,1970,43.0,1.5
24107,1970,70.0,4.5
24111,1970,74.0,4.5
24112,1970,50.0,2.0
24113,1970,72.0,4.5
24114,1970,73.0,4.0
24115,1970,64.0,4.0
24116,1970,80.0,4.0
24117,1970,64.0,4.0
24118,1970,70.0,2.25
24119,1970,65.0,3.5
24120,1970,69.0,3.75
24121,1970,68.0,4.5
24124,1970,72.0,4.25
24125,1970,53.0,3.5
24126,1970,77.0,4.25
24127,1970,55.0,2.25
24128,1970,69.0,2.5
24129,1970,50.0,2.75
24130,1970,80.0,1.5
24132,1970,79.0,4.0
24133,1970,54.0,2.0
24135,1970,66.0,4.0
24136,1970,44.0,2.0
24137,1970,75.0,4.0
24138,1970,73.0,3.5
24139,1970,41.0,2.0
24140,1970,83.0,4.5
24141,1970,54.0,1.75
24142,1970,68.0,4.25
24143,1970,56.0,2.25
24150,1970,73.0,3.5
24151,1970,83.0,3.75
24152,1970,44.0,2.75
24153,1970,78.0,3.25
24154,1970,63.0,2.75
24155,1970,86.0,3.75
24156,1970,48.0,2.0
24157,1970,68.0,4.5
24158,1970,53.0,2.25
24159,1970,81.0,4.0
24168,1970,77.0,3.5
24169,1970,65.0,4.0
24170,1970,65.0,3.75
24171,1970,74.0,3.5
24172,1970,56.0,1.75
24173,1970,73.0,3.25
24174,1970,48.0,2.75
24175,1970,71.0,2.5
24176,1970,51.0,2.75
24177,1970,79.0,4.5
24178,1970,52.0,1.75
24179,1970,76.0,4.5
24188,1970,49.0,2.0
24189,1970,75.0,3.0
24190,1970,54.0,1.5
24191,1970,67.0,3.5
24192,1970,48.0,2.5
24193,1970,79.0,3.5
24194,1970,50.0,1.75
24195,1970,76.0,4.25
24196,1970,48.0,1.75
24197,1970,80.0,4.0
24198,1970,41.0,1.75
24206,1970,67.0,3.5
24207,1970,51.0,2.0
24208,1970,69.0,4.5
24209,1970,74.0,2.75
24210,1970,49.0,2.25
24211,1970,81.0,4.0
24212,1970,42.0,2.25
24213,1970,80.0,4.25
24214,1970,43.0,1.75
24215,1970,79.0,4.25
24216,1970,47.0,2.5
24217,1970,72.0,4.0
24229,1970,63.0,2.75
24230,1970,41.0,1.75
24231,1970,80.0,4.5
24232,1970,45.0,1.5
24233,1970,78.0,4.25
24234,1970,49.0,1.5
24235,1970,70.0,4.5
24236,1970,68.0,1.5
24237,1970,49.0,4.5
24238,1970,56.0,2.5
24239,1970,71.0,4.25
24240,1970,45.0,1.75
24241,1970,84.0,4.0
24251,1970,38.0,2.0
24252,1970,79.0,4.0
24253,1970,43.0,2.75
24254,1970,82.0,4.0
24255,1970,46.0,1.75
24256,1970,80.0,4.0
24257,1970,47.0,1.5
24258,1970,70.0,4.0
24259,1970,48.0,2.0
24260,1970,77.0,4.75
24261,1970,55.0,1.75
24262,1970,74.0,3.25
24271,1970,46.0,1.5
24272,1970,82.0,4.25
24273,1970,44.0,1.75
24274,1970,69.0,4.5
24275,1970,64.0,2.25
24276,1970,71.0,4.25
24277,1970,45.0,1.75
24278,1970,78.0,3.25
24279,1970,52.0,2.5
24280,1970,75.0,4.0
24281,1970,45.0,2.0
24282,1970,76.0,4.5
24288,1970,70.0,4.0
24289,1970,75.0,4.0
24290,1970,39.0,2.0
24291,1970,83.0,4.5
24292,1970,40.0,1.75
24293,1970,74.0,3.5
24294,1970,108.0,1.75
24295,1970,15.0,4.0
