eruptionID,year,waiting_min,dur
1092554,1993,86.0,3.57
1092555,1993,66.0,2.06
1092556,1993,79.0,4.24
1092557,1993,63.0,1.48
1092569,1993,84.0,4.21
1092570,1993,63.0,1.46
1092571,1993,78.0,4.38
1092572,1993,83.0,4.03
1092573,1993,55.0,1.49
1092574,1993,86.0,4.37
1092575,1993,77.0,1.57
1092589,1993,88.0,4.34
1092590,1993,82.0,4.09
1092591,1993,78.0,4.3
1092592,1993,62.0,2.16
1092593,1993,94.0,4.34
1092594,1993,52.0,1.53
1092595,1993,83.0,4.05
1092607,1993,66.0,2.12
1092608,1993,91.0,4.55
1092609,1993,76.0,4.2
1092610,1993,81.0,3.52
1092611,1993,82.0,4.29
1092612,1993,52.0,2.0
1092613,1993,89.0,5.06
1092614,1993,55.0,2.1
1092626,1993,61.0,1.17
1092627,1993,98.0,4.44
1092628,1993,85.0,4.35
1092629,1993,77.0,4.27
1092630,1993,75.0,3.53
1092631,1993,77.0,4.06
1092632,1993,61.0,2.02
1092633,1993,93.0,4.48
1092645,1993,58.0,1.56
1092646,1993,79.0,4.3
1092647,1993,69.0,2.0
1092648,1993,80.0,4.08
1092649,1993,55.0,1.57
1092650,1993,90.0,4.43
1092651,1993,54.0,1.57
1092652,1993,95.0,4.34
1092664,1993,75.0,3.43
1092665,1993,61.0,2.2
1092666,1993,103.0,4.24
1092667,1993,60.0,1.59
1092668,1993,85.0,4.21
1092669,1993,54.0,2.07
1092670,1993,85.0,4.05
1092683,1993,60.0,1.56
1092684,1993,84.0,4.49
1092685,1993,65.0,2.0
1092686,1993,82.0,4.04
1092687,1993,80.0,3.5
1092688,1993,76.0,3.53
1092689,1993,148.0,4.06
1092699,1993,77.0,4.3
1092700,1993,91.0,3.58
1092701,1993,74.0,4.02
1092702,1993,86.0,4.0
1092703,1993,49.0,1.51
1092704,1993,99.0,4.19
1092705,1993,51.0,1.5
1092720,1993,57.0,1.44
1092721,1993,91.0,4.44
1092722,1993,58.0,1.57
1092723,1993,89.0,4.44
1092724,1993,62.0,1.47
1092725,1993,86.0,4.51
1092726,1993,69.0,1.52
1092738,1993,97.0,4.5
1092739,1993,55.0,2.08
1092740,1993,97.0,5.01
1092741,1993,58.0,1.52
1092742,1993,83.0,4.56
1092743,1993,63.0,1.54
1092744,1993,80.0,4.34
1092745,1993,93.0,4.02
1092746,1993,155.0,1.5
1092748,1993,85.0,4.24
1092749,1993,67.0,1.49
1092750,1993,91.0,4.4
1092751,1993,54.0,1.3
1092752,1993,88.0,4.25
1092753,1993,78.0,3.56
1092754,1993,56.0,1.45
1092768,1993,63.0,1.48
1092770,1993,90.0,4.04
1092771,1993,83.0,4.3
1092773,1993,81.0,4.1
1092785,1993,94.0,4.48
1092786,1993,80.0,4.0
1092787,1993,55.0,1.3
1092788,1993,89.0,4.42
1092789,1993,53.0,1.55
1092790,1993,93.0,4.35
1092791,1993,52.0,1.52
1092792,1993,96.0,4.36
1092793,1993,56.0,1.49
1092805,1993,87.0,4.38
1092806,1993,57.0,1.49
1092807,1993,95.0,4.38
1092808,1993,59.0,1.54
1092809,1993,94.0,4.18
1092810,1993,62.0,1.54
1092811,1993,95.0,4.45
1092812,1993,51.0,1.51
1092824,1993,82.0,4.09
1092825,1993,79.0,4.08
1092826,1993,73.0,4.0
1092827,1993,89.0,3.53
1092828,1993,81.0,3.58
1092829,1993,78.0,4.17
1092843,1993,63.0,2.49
1092844,1993,87.0,4.25
1092845,1993,77.0,3.41
1092846,1993,85.0,4.02
1092847,1993,63.0,2.0
1092848,1993,91.0,4.3
1092849,1993,58.0,2.03
1092850,1993,80.0,4.34
1093327,1993,60.0,1.46
1093328,1993,98.0,4.25
1093329,1993,57.0,1.54
1093330,1993,86.0,4.07
