eruptionID,waiting_min,dur,labels
1094281,54.0,2.03,1
1094282,90.0,4.2,0
1094283,60.0,1.56,1
1094284,95.0,4.24,0
1094285,56.0,2.03,1
1094286,90.0,4.3,0
1094288,53.0,2.1,1
1094289,82.0,4.37,0
1094290,75.0,1.58,1
1094291,82.0,4.48,0
1094292,60.0,2.34,1
1094293,102.0,4.21,0
1094295,73.0,3.53,0
1094296,88.0,4.14,0
1094297,80.0,4.08,0
1094298,62.0,1.55,1
1094299,100.0,4.44,0
1094300,78.0,4.1,0
1094302,86.0,4.33,0
1094303,80.0,3.49,0
1094304,87.0,4.07,0
1094305,82.0,3.58,0
1094306,76.0,3.54,0
1094307,77.0,4.09,0
1094309,56.0,1.54,1
1094310,90.0,4.38,0
1094311,58.0,1.43,1
1094312,90.0,4.31,0
1094313,54.0,2.03,1
1094314,94.0,4.4,0
1094316,73.0,3.3,0
1094317,78.0,3.37,0
1094318,77.0,4.15,0
1094319,77.0,3.53,0
1094320,74.0,3.4,0
1094321,77.0,3.58,0
1094326,70.0,3.54,0
1094327,90.0,4.08,0
1094328,57.0,1.45,1
1094329,82.0,4.25,0
1094330,76.0,3.25,0
1094331,75.0,4.1,0
1094333,82.0,4.38,0
1094334,78.0,3.49,0
1094335,93.0,3.24,0
1094336,93.0,4.18,0
1094337,51.0,1.43,1
1094338,88.0,4.32,0
1094342,74.0,3.53,0
1094343,85.0,3.53,0
1094344,77.0,3.34,0
1094345,74.0,4.05,0
1094347,91.0,4.1,0
1094348,86.0,3.49,0
1094349,76.0,3.58,0
1094350,91.0,4.03,0
1094351,78.0,3.54,0
1094352,85.0,4.14,0
1094355,92.0,4.31,0
1094356,64.0,1.45,1
1094357,92.0,4.24,0
1094358,47.0,1.54,1
1094359,95.0,4.43,0
1094360,56.0,2.04,1
1096286,96.0,4.21,0
1096287,51.0,1.52,1
1096288,90.0,4.32,0
1096289,49.0,1.44,1
1096290,89.0,4.35,0
1096291,53.0,1.44,1
1096294,87.0,4.34,0
1096295,53.0,1.58,1
1096296,100.0,4.24,0
1096297,54.0,2.02,1
1096298,93.0,4.34,0
1096299,63.0,1.43,1
1096301,75.0,4.06,0
1096302,76.0,2.51,1
1096303,84.0,4.21,0
1096304,78.0,3.47,0
1096305,90.0,4.01,0
1096306,48.0,1.53,1
1096307,93.0,4.45,0
1096309,51.0,1.44,1
1096310,86.0,4.35,0
1096311,53.0,1.53,1
1096312,94.0,4.31,0
1096313,49.0,1.57,1
1096314,83.0,4.22,0
1096316,57.0,1.54,1
1096317,91.0,4.48,0
1096318,56.0,1.45,1
1096319,91.0,4.44,0
1096320,55.0,1.42,1
1096321,86.0,4.48,0
1096324,86.0,4.2,0
1096325,51.0,1.57,1
1096326,96.0,4.28,0
1096327,55.0,1.43,1
1096328,93.0,4.36,0
1096329,55.0,1.51,1
1096330,97.0,4.45,0
