eruptionID,waiting_min,dur,labels
24135,66.0,4.0,1
24136,44.0,2.0,0
24137,75.0,4.0,1
24138,73.0,3.5,1
24139,41.0,2.0,0
24140,83.0,4.5,1
24141,54.0,1.75,0
24142,68.0,4.25,1
24143,56.0,2.25,0
24150,73.0,3.5,1
24151,83.0,3.75,1
24152,44.0,2.75,0
24153,78.0,3.25,1
24154,63.0,2.75,1
24155,86.0,3.75,1
24156,48.0,2.0,0
24157,68.0,4.5,1
24158,53.0,2.25,0
24159,81.0,4.0,1
24168,77.0,3.5,1
24169,65.0,4.0,1
24170,65.0,3.75,1
24171,74.0,3.5,1
24172,56.0,1.75,0
24173,73.0,3.25,1
24174,48.0,2.75,0
24175,71.0,2.5,1
24176,51.0,2.75,0
24177,79.0,4.5,1
24178,52.0,1.75,0
24179,76.0,4.5,1
24188,49.0,2.0,0
24189,75.0,3.0,1
24190,54.0,1.5,0
24191,67.0,3.5,1
24192,48.0,2.5,0
24193,79.0,3.5,1
24194,50.0,1.75,0
24195,76.0,4.25,1
24196,48.0,1.75,0
24197,80.0,4.0,1
24198,41.0,1.75,0
24206,67.0,3.5,1
24207,51.0,2.0,0
24208,69.0,4.5,1
24209,74.0,2.75,1
24210,49.0,2.25,0
24211,81.0,4.0,1
24212,42.0,2.25,0
24213,80.0,4.25,1
24214,43.0,1.75,0
24215,79.0,4.25,1
24216,47.0,2.5,0
24217,72.0,4.0,1
24229,63.0,2.75,1
24230,41.0,1.75,0
24231,80.0,4.5,1
24232,45.0,1.5,0
24233,78.0,4.25,1
24234,49.0,1.5,0
24235,70.0,4.5,1
24236,68.0,1.5,0
24237,49.0,4.5,1
24238,56.0,2.5,0
24239,71.0,4.25,1
24240,45.0,1.75,0
24241,84.0,4.0,1
24251,38.0,2.0,0
24252,79.0,4.0,1
24253,43.0,2.75,0
24254,82.0,4.0,1
24255,46.0,1.75,0
24256,80.0,4.0,1
24257,47.0,1.5,0
24258,70.0,4.0,1
24259,48.0,2.0,0
24260,77.0,4.75,1
24261,55.0,1.75,0
24262,74.0,3.25,1
24271,46.0,1.5,0
24272,82.0,4.25,1
24273,44.0,1.75,0
24274,69.0,4.5,1
24275,64.0,2.25,0
24276,71.0,4.25,1
24277,45.0,1.75,0
24278,78.0,3.25,1
24279,52.0,2.5,0
24280,75.0,4.0,1
24281,45.0,2.0,0
24282,76.0,4.5,1
24288,70.0,4.0,1
24289,75.0,4.0,1
24290,39.0,2.0,0
24291,83.0,4.5,1
24292,40.0,1.75,0
24293,74.0,3.5,1
24294,108.0,1.75,1
24296,47.0,1.75,0
24297,76.0,4.5,1
24298,64.0,2.5,0
24299,76.0,3.75,1
24310,49.0,2.0,0
24311,73.0,4.0,1
24312,43.0,2.0,0
24313,76.0,4.5,1
24314,54.0,2.0,0
24315,85.0,4.0,1
24316,41.0,1.5,0
24317,70.0,3.25,1
24318,68.0,3.0,1
24319,46.0,1.5,0
24320,75.0,4.25,1
24321,46.0,1.75,0
24328,76.0,3.5,1
24329,47.0,1.75,0
24330,76.0,4.25,1
24331,47.0,2.0,0
24332,76.0,4.5,1
24333,68.0,3.0,1
24334,75.0,4.0,1
24335,56.0,2.5,0
24336,70.0,4.25,1
24337,73.0,3.5,1
24338,59.0,3.5,1
24344,64.0,3.0,1
24347,79.0,3.5,1
24348,75.0,3.0,1
24349,64.0,4.5,1
24350,68.0,3.0,1
24351,83.0,4.5,1
24352,47.0,2.75,0
24353,69.0,4.0,1
24354,64.0,3.5,1
24362,54.0,3.0,1
24363,83.0,4.5,1
24364,68.0,3.5,1
24366,80.0,4.25,1
24367,46.0,1.75,0
24368,70.0,4.0,1
24369,77.0,3.75,1
24370,118.0,4.0,1
24371,72.0,3.75,1
24379,79.0,3.5,1
24380,46.0,2.0,0
24381,75.0,4.75,1
24383,50.0,2.0,0
24384,74.0,4.5,1
24385,72.0,3.5,1
24386,51.0,2.0,0
24387,86.0,4.5,1
24388,44.0,2.5,0
24389,73.0,4.0,1
24390,42.0,2.25,0
24404,57.0,3.5,1
24405,73.0,3.75,1
24406,75.0,3.25,1
24407,71.0,4.0,1
24408,41.0,1.5,0
24409,81.0,4.25,1
24410,52.0,2.0,0
24411,73.0,4.0,1
24412,51.0,2.0,0
24413,74.0,4.0,1
24414,45.0,1.5,0
24421,61.0,2.5,0
24422,70.0,4.5,1
24423,61.0,2.0,0
24424,67.0,4.0,1
24425,63.0,3.0,1
24426,69.0,3.5,1
24427,54.0,2.0,0
24428,80.0,4.0,1
24429,51.0,2.0,0
24430,75.0,3.5,1
24431,59.0,2.25,0
24444,46.0,2.25,0
24445,75.0,3.0,1
24446,45.0,2.0,0
24447,73.0,4.0,1
24448,52.0,2.0,0
24449,49.0,1.75,0
24450,71.0,4.5,1
24451,75.0,3.5,1
24452,64.0,4.0,1
24453,72.0,4.25,1
24454,52.0,2.5,0
24455,77.0,4.5,1
24456,41.0,1.75,0
24462,77.0,3.0,1
24463,59.0,3.0,1
24464,69.0,3.0,1
24465,64.0,3.0,1
24466,69.0,4.0,1
24467,70.0,4.0,1
24468,66.0,3.0,1
24469,77.0,4.0,1
24470,51.0,2.0,0
24471,85.0,4.75,1
24472,68.0,4.0,1
24480,75.0,3.5,1
24481,51.0,2.25,0
24482,77.0,3.5,1
24483,47.0,1.75,0
24484,83.0,4.5,1
24485,73.0,3.5,1
24486,45.0,1.5,0
24487,71.0,3.25,1
24488,51.0,2.25,0
24489,77.0,4.25,1
24490,48.0,2.0,0
24491,75.0,3.5,1
24504,51.0,2.0,0
24505,78.0,4.25,1
24506,69.0,4.0,1
24507,54.0,2.0,0
24508,69.0,4.25,1
24509,75.0,3.75,1
24510,66.0,3.0,1
24511,71.0,4.0,1
24512,71.0,3.0,1
24513,71.0,3.75,1
24514,46.0,1.5,0
24522,43.0,1.5,0
24523,68.0,4.0,1
24524,50.0,2.25,0
24525,75.0,4.5,1
24526,48.0,2.0,0
24527,75.0,4.5,1
24528,56.0,2.0,0
24529,76.0,4.5,1
24530,67.0,4.25,1
24531,73.0,3.25,1
24532,47.0,2.0,0
24533,74.0,3.5,1
24564,53.0,2.5,0
24565,71.0,3.75,1
24566,77.0,4.5,1
24567,68.0,4.75,1
24568,41.0,2.0,0
24569,79.0,4.0,1
24570,48.0,2.0,0
24571,82.0,4.5,1
24572,42.0,2.0,0
24573,72.0,3.5,1
24574,54.0,2.5,0
24582,71.0,4.0,1
24583,46.0,2.0,0
24584,79.0,4.0,1
24585,71.0,2.5,1
24586,78.0,4.25,1
24587,49.0,1.5,0
24589,48.0,1.75,0
24590,71.0,4.25,1
24591,61.0,3.5,1
24592,68.0,3.5,1
24593,49.0,3.0,1
24603,58.0,3.25,1
24604,74.0,4.25,1
24605,48.0,2.0,0
24606,42.0,4.0,1
24609,29.0,2.0,0
24607,78.0,3.75,1
24610,70.0,4.5,1
24611,53.0,2.0,0
24612,76.0,4.0,1
24613,53.0,2.25,0
24620,39.0,1.75,0
24621,72.0,3.5,1
24622,52.0,1.5,0
24623,69.0,3.5,1
