Date,Geyser,time,duration,,,,,,,,,,
1/18/1979,Old Faithful,15:10,3:30,,,,,,,,,,
1/18/1979,Old Faithful,16:22,5:00,,,,,,,,,,
1/19/1979,Old Faithful,9:03,4:15,,,,,,,,,,
1/19/1979,Old Faithful,10:24,4:00,,,,,,,,,,
1/19/1979,Old Faithful,11:33,3:19,,,,,,,,,,
1/19/1979,Old Faithful,12:41,4:06,,,,,,,,,,
1/19/1979,Old Faithful,13:58,4:00,,,,,,,,,,
1/19/1979,Old Faithful,15:14,~3:45,,,,,,,,,,
1/19/1979,Old Faithful,16:27,3:59,,,,,,,,,,
1/20/1979,Old Faithful,9:59,4:04,,,,,,,,,,
1/20/1979,Old Faithful,11:15,4:14,,,,,,,,,,
1/20/1979,Old Faithful,12:29,2:24,,,,,,,,,,
1/20/1979,Old Faithful,13:25,4:24,,,,,,,,,,
1/20/1979,Old Faithful,14:40,3:43,,,,,,,,,,
1/20/1979,Old Faithful,16:07,4:16,,,,,,,,,,
1/21/1979,Old Faithful,8:53,3:55,,,,,,,,,,
1/21/1979,Old Faithful,10:10,4:15,,,,,,,,,,
1/21/1979,Old Faithful,11:27,3:45,,,,,,,,,,
1/21/1979,Old Faithful,12:46,3:56,,,,,,,,,,
1/21/1979,Old Faithful,14:03,4:24,,,,,,,,,,
1/21/1979,Old Faithful,15:29,4:30,,,,,,,,,,
1/21/1979,Old Faithful,16:49,4:20,,,,,,,,,,
1/22/1979,Old Faithful,8:20,~4:00,,,,,,,,,,
1/22/1979,Old Faithful,9:32,1:45,,,,,,,,,,
1/22/1979,Old Faithful,10:30,4:12,,,,,,,,,,
1/22/1979,Old Faithful,11:48,2:10,,,,,,,,,,
1/22/1979,Old Faithful,12:46,4:24,,,,,,,,,,
1/22/1979,Old Faithful,14:02,~3:15,,,,,,,,,,
1/22/1979,Old Faithful,14:57,4:04,,,,,,,,,,
1/22/1979,Old Faithful,16:32,2:28,,,,,,,,,,
1/22/1979,Old Faithful,17:16,4:15,,,,,,,,,,
1/22/1979,Old Faithful,18:29,3:55,,,,,,,,,,
1/23/1979,Old Faithful,8:17,4:22,,,,,,,,,,
1/23/1979,Old Faithful,9:28,,,,,,,,,,,
1/23/1979,Old Faithful,10:50,1:57,,,,,,,,,,
1/23/1979,Old Faithful,11:44,4:40,,,,,,,,,,
1/23/1979,Old Faithful,12:59,4:06,,,,,,,,,,
1/23/1979,Old Faithful,14:10,4:06,,,,,,,,,,
1/23/1979,Old Faithful,15:28,2:23,,,,,,,,,,
1/24/1979,Old Faithful,8:34,4:22,,,,,,,,,,
1/24/1979,Old Faithful,9:45,4:06,,,,,,,,,,
1/24/1979,Old Faithful,10:59,3:53,,,,,,,,,,
1/24/1979,Old Faithful,12:07,~3:40,,,,,,,,,,
1/24/1979,Old Faithful,13:18,3:59,,,,,,,,,,
1/24/1979,Old Faithful,14:33,4:16,,,,,,,,,,
1/24/1979,Old Faithful,15:43,~4:30,,,,,,,,,,
1/24/1979,Old Faithful,16:55,4:04,,,,,,,,,,
1/24/1979,Old Faithful,18:09,4:16,,,,,,,,,,
1/25/1979,Old Faithful,8:33,4:31,,,,,,,,,,
1/25/1979,Old Faithful,9:51,4:16,,,,,,,,,,
1/25/1979,Old Faithful,11:07,~4:30,,,,,,,,,,
1/25/1979,Old Faithful,12:26,4:18,,,,,,,,,,
1/25/1979,Old Faithful,13:37,3:45,,,,,,,,,,
1/25/1979,Old Faithful,15:02,4:42,,,,,,,,,,
1/25/1979,Old Faithful,16:24,2:17,,,,,,,,,,
1/25/1979,Old Faithful,17:17,~4:30,,,,,,,,,,
1/25/1979,Old Faithful,18:34,4:16,,,,,,,,,,
1/25/1979,Old Faithful,19:49,4:45,,,,,,,,,,
1/26/1979,Old Faithful,8:41,4:31,,,,,,,,,,
1/26/1979,Old Faithful,9:58,4:04,,,,,,,,,,
1/26/1979,Old Faithful,11:19,3:53,,,,,,,,,,
1/26/1979,Old Faithful,12:33,4:03,,,,,,,,,,
1/26/1979,Old Faithful,13:44,~4:00,,,,,,,,,,
1/26/1979,Old Faithful,15:00,3:48,,,,,,,,,,
1/26/1979,Old Faithful,16:14,~4:00,,,,,,,,,,
1/26/1979,Old Faithful,17:35,2:22,,,,,,,,,,
1/27/1979,Old Faithful,8:23,short!,,,,,,,,,,
1/27/1979,Old Faithful,9:18,4:40,,,,,,,,,,
1/27/1979,Old Faithful,10:40,2:02,,,,,,,,,,
1/27/1979,Old Faithful,11:28,4:19,,,,,,,,,,
1/27/1979,Old Faithful,12:47,2:37,,,,,,,,,,
1/27/1979,Old Faithful,13:52,~4:10,,,,,,,,,,
1/27/1979,Old Faithful,15:11,,,,,,,,,,,
1/27/1979,Old Faithful,16:00,4:26,,,,,,,,,,
1/27/1979,Old Faithful,17:25,2:01,,,,,,,,,,
1/27/1979,Old Faithful,18:18,4:50,,,,,,,,,,
1/27/1979,Old Faithful,19:38,1:58,,,,,,,,,,
1/27/1979,Old Faithful,20:29,5:29,,,,,,,,,,
1/28/1979,Old Faithful,8:45,4:15,,,,,,,,,,
1/28/1979,Old Faithful,10:02,4:08,,,,,,,,,,
1/28/1979,Old Faithful,11:18,4:14,,,,,,,,,,
1/28/1979,Old Faithful,12:30,4:04,,,,,,,,,,
1/28/1979,Old Faithful,1X:55,~2:22,,,,,,,,,,
1/28/1979,Old Faithful,14:49,~4:39,,,,,,,,,,
1/28/1979,Old Faithful,16:22,1:59,,,,,,,,,,
1/28/1979,Old Faithful,17:07,4:35,,,,,,,,,,
1/28/1979,Old Faithful,18:42,1:44,,,,,,,,,,
1/29/1979,Old Faithful,8:50,~4,,,,,,,,,,
1/29/1979,Old Faithful,10:03,~3:50,,,,,,,,,,
1/29/1979,Old Faithful,11:14,~4:10,,,,,,,,,,
1/29/1979,Old Faithful,12:30,4:21,,,,,,,,,,
1/29/1979,Old Faithful,14:02,4:21,,,,,,,,,,
1/29/1979,Old Faithful,15:13,~3:49,,,,,,,,,,
1/29/1979,Old Faithful,16:39,~3:15,,,,,,,,,,
1/29/1979,Old Faithful,17:59,4:09,,,,,,,,,,
1/30/1979,Old Faithful,8:49,4:40,,,,,,,,,,
1/30/1979,Old Faithful,10:08,,,,,,,,,,,
1/30/1979,Old Faithful,11:02,4:42,,,,,,,,,,
1/30/1979,Old Faithful,12:21,2:48,,,,,,,,,,
1/30/1979,Old Faithful,13:29,4:38,,,,,,,,,,
1/30/1979,Old Faithful,14:51,2:21,,,,,,,,,,
1/30/1979,Old Faithful,15:52,4:35,,,,,,,,,,
1/30/1979,Old Faithful,17:09,4:08,,,,,,,,,,
1/30/1979,Old Faithful,18:20,4:50,,,,,,,,,,
1/30/1979,Old Faithful,19:46,4:48,,,,,,,,,,
1/30/1979,Old Faithful,21:01,2:12,,,,,,,,,,
1/31/1979,Old Faithful,9:13,4:05,,,,,,,,,,
1/31/1979,Old Faithful,10:22,4:16,,,,,,,,,,
1/31/1979,Old Faithful,11:41,4:03,,,,,,,,,,
1/31/1979,Old Faithful,12:50,4:08,,,,,,,,,,
1/31/1979,Old Faithful,14:02,3:57,,,,,,,,,,
1/31/1979,Old Faithful,15:20,~3:15,,,,,,,,,,
